0,1
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,1
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,1
28,0
29,1
30,1
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,0
43,0
44,1
45,1
46,1
47,1
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,1
58,1
59,1
60,1
61,0
62,0
63,1
64,1
65,0
66,0
67,1
68,1
69,1
70,0
71,1
72,0
73,1
74,1
75,1
76,0
77,0
78,0
79,0
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,0
95,1
96,1
97,1
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,0
110,0
111,1
112,0
113,0
114,0
115,1
116,0
117,1
118,0
119,1
120,1
121,0
122,1
123,1
124,1
125,0
126,1
127,0
128,0
129,1
130,1
131,0
132,0
133,0
134,1
135,0
136,1
137,0
138,0
139,1
140,1
141,0
142,1
143,1
144,0
145,1
146,0
147,1
148,1
149,1
150,0
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,1
159,0
160,0
161,0
162,1
163,0
164,0
165,1
166,1
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,0
179,1
180,1
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,1
194,0
195,1
196,0
197,0
198,0
199,1
